scenario,family,scenario_base,tp,map_dataset,movement_models,n_hosts,delivery_ratio,overhead_ratio,drop_ratio,total_encounters,coverage_world_ratio,coverage_accessible_ratio,delivery_std_by_base,problem_flags,priority,recommended_action_hint
U1_CBD_Commuting_HelsinkiDowntown__TP11_ManyToOne,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP11,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.6794,44.1093,0.0,3512.0,0.2876,1.0,0.2147762951763927,MAP_TOO_LARGE,P1,change_map_or_worldSize
U1_CBD_Commuting_HelsinkiDowntown__TP12_GroupToGroup,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP12,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.6442,88.9524,7.022494887525562,3542.0,0.2732,1.0,0.2147762951763927,MAP_TOO_LARGE,P1,change_map_or_worldSize
U2_SparseUrban_HelsinkiDowntown__TP01_Baseline,01_urban,U2_SparseUrban_HelsinkiDowntown,TP01,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,36,0.3243,31.5355,0.0,692.0,0.18,1.0,0.17061172004042252,MAP_UNDERUSED|MAP_TOO_LARGE,P1,change_map_or_worldSize
U2_SparseUrban_HelsinkiDowntown__TP02_LowLoad,01_urban,U2_SparseUrban_HelsinkiDowntown,TP02,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,36,0.3196,33.7742,0.0,692.0,0.18,1.0,0.17061172004042252,MAP_UNDERUSED|MAP_TOO_LARGE,P1,change_map_or_worldSize
U2_SparseUrban_HelsinkiDowntown__TP03_ManySmall,01_urban,U2_SparseUrban_HelsinkiDowntown,TP03,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,36,0.3161,29.5943,0.0,672.0,0.1684,1.0,0.17061172004042252,MAP_UNDERUSED|MAP_TOO_LARGE,P1,change_map_or_worldSize
U2_SparseUrban_HelsinkiDowntown__TP04_FewLarge,01_urban,U2_SparseUrban_HelsinkiDowntown,TP04,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,36,0.2376,165.6279,34.78453038674033,692.0,0.18,1.0,0.17061172004042252,EXTREME_OVERHEAD|MAP_UNDERUSED|MAP_TOO_LARGE,P0,change_map_or_worldSize
U2_SparseUrban_HelsinkiDowntown__TP05_CriticalTTL,01_urban,U2_SparseUrban_HelsinkiDowntown,TP05,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,36,0.0126,26.5,1.3263598326359831,692.0,0.18,1.0,0.17061172004042252,MAP_UNDERUSED|MAP_TOO_LARGE,P1,change_map_or_worldSize
U2_SparseUrban_HelsinkiDowntown__TP06_OneToMany,01_urban,U2_SparseUrban_HelsinkiDowntown,TP06,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,36,0.5093,34.3036,1.6721649484536083,692.0,0.18,1.0,0.17061172004042252,MAP_UNDERUSED|MAP_TOO_LARGE,P1,change_map_or_worldSize
U2_SparseUrban_HelsinkiDowntown__TP07_BurstWindow,01_urban,U2_SparseUrban_HelsinkiDowntown,TP07,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,36,0.4679,30.7771,0.0,725.0,0.1732,1.0,0.17061172004042252,MAP_UNDERUSED|MAP_TOO_LARGE,P1,change_map_or_worldSize
U2_SparseUrban_HelsinkiDowntown__TP08_HubTarget,01_urban,U2_SparseUrban_HelsinkiDowntown,TP08,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,36,0.2247,85.055,10.142268041237111,692.0,0.18,1.0,0.17061172004042252,MAP_UNDERUSED|MAP_TOO_LARGE,P1,change_map_or_worldSize
