map_id,validation_status,reason,source_type,archetype
OSM_london_industrial_corridor_offset_w_2500m_1000m_1474,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_1000m_1584,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_1000m_1730,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_1000m_1840,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_1000m_1947,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_1500m_1269,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_1500m_1390,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_1500m_1501,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_1500m_1628,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_1500m_1762,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_1500m_1867,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_1500m_1979,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_200m_1294,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_200m_1415,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_200m_1529,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_200m_1673,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_200m_1788,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_200m_1894,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_500m_1212,FAIL,osm_download_failed,osm,industrial_disrupted
