# Escenarios a diversificar (aparecen en pares con |r| >= 0.7)
# Generado por run_analysis.py --phase correlation. Total: 540 escenarios.
# Criterio: trabajar en estos para que su vector de features difiera del resto y baje |r|.

S3_PeriodicMeetings_RegularRhythm__TP07_BurstWindow  (# pares con |r|>=0.7: 13)
R9_ExtremeRange_200m__TP02_LowLoad  (# pares con |r|>=0.7: 13)
D8_InfrastructureReturns_BackboneLinks__TP10_Storm  (# pares con |r|>=0.7: 13)
R9_ExtremeRange_200m__TP09_Bimodal  (# pares con |r|>=0.7: 13)
D8_InfrastructureReturns_BackboneLinks__TP05_CriticalTTL  (# pares con |r|>=0.7: 13)
R6_SparseLongRange__TP09_Bimodal  (# pares con |r|>=0.7: 13)
R6_SparseLongRange__TP03_ManySmall  (# pares con |r|>=0.7: 13)
C3_Hackathon_24h__TP09_Bimodal  (# pares con |r|>=0.7: 13)
D8_InfrastructureReturns_BackboneLinks__TP03_ManySmall  (# pares con |r|>=0.7: 13)
R6_SparseLongRange__TP07_BurstWindow  (# pares con |r|>=0.7: 13)
D3_Aftershock_ErraticMobility__TP01_Baseline  (# pares con |r|>=0.7: 13)
U1_CBD_Commuting_HelsinkiDowntown__TP06_OneToMany  (# pares con |r|>=0.7: 13)
C3_Hackathon_24h__TP02_LowLoad  (# pares con |r|>=0.7: 13)
S5_TwoLayer_StudentsStaff__TP02_LowLoad  (# pares con |r|>=0.7: 13)
C6_EmergencyDrill_Evacuation__TP10_Storm  (# pares con |r|>=0.7: 13)
C4_CampusEvent_IngressEgress__TP05_CriticalTTL  (# pares con |r|>=0.7: 13)
S1_StrongCommunities_SeparateClusters__TP05_CriticalTTL  (# pares con |r|>=0.7: 13)
S1_StrongCommunities_SeparateClusters__TP10_Storm  (# pares con |r|>=0.7: 13)
U1_CBD_Commuting_HelsinkiDowntown__TP08_HubTarget  (# pares con |r|>=0.7: 13)
S1_StrongCommunities_SeparateClusters__TP01_Baseline  (# pares con |r|>=0.7: 13)
U1_CBD_Commuting_HelsinkiDowntown__TP12_GroupToGroup  (# pares con |r|>=0.7: 13)
S1_StrongCommunities_SeparateClusters__TP03_ManySmall  (# pares con |r|>=0.7: 13)
R6_SparseLongRange__TP10_Storm  (# pares con |r|>=0.7: 13)
R6_SparseLongRange__TP05_CriticalTTL  (# pares con |r|>=0.7: 13)
